sound,cluster
\\_E,1
\\=e1,1
\\_u,1
{\\4i},1
\\textvbaraccent{O},1
\\={\\c{u}},1
\\v{\\textbaru},1
\\_b,1
\\_{-},1
\\_{},1
"\\\w""",1
\\'{\\textiota},1
\\v{u},1
\\harp{oo},1
\\c{i},1
\\s{s},1
\\_e1,1
\\~{\\'e},1
r1,1
\\_i,1
\\u{\\i},1
\\^3,1
\\~a,1
\\=w,1
\\textvbaraccent{h},1
\\*:,1
\\squareharp{i},1
\\squareharp{oo},1
\\~n,1
\\squareharp{\\textbara},1
\\v{i},1
\\'n1,1
\\textdoublevbaraccent{e},1
\\_y,1
\\c{\\i},1
N,1
\\'w,1
"\\\{\\i}""",1
{\\4n},1
\\^{\\c{\\i}},1
\\textvbaraccent{\\=O},1
"\\v{\\\O}""",1
\\={\\textsca},1
\\squareharp{\\textbaru},1
\\u{o}1,1
\\~e1,1
{\\_o},1
{\\4w},1
\\4x{e},1
\\'{\\textbaru},1
\\'{\\~o},1
\\squareharp{o}1,1
\\'{\\textturnv},1
"\\'\\\{\\textbaru}""",1
\\H{\\i},1
\\H{a},1
\\squareharp{a},1
\\=t,1
\\_h,1
\\v{e}1,1
"\\'{\\\{\\i}}""",1
\\harp{e},1
\\={\\c{\\i}},1
\\^e1,1
\\v{a},1
\\v{s},1
\\AS{\\B{t}},1
\\squareharp{e},1
D,1
z1,1
\\_{\\c{o}},1
\\^{},1
\\'I,1
\\v{O},1
"\\'{\\\u}""",1
\\'i1,1
\\v{\\i},1
#,1
\\textvbaraccent{\\=a},1
\\_{\\c{u}},1
\\_{\\textbara},1
\\v{\\c{u}},1
\\~o1,1
x,1
\\textvbaraccent{\\i},1
\\~U,1
\\~{\\'o},1
\\_{\\~a},1
S,1
\\^{\\'{\\i}},1
\\'g,1
\\={\\c{i}},1
{\\_d},1
\\H{e}1,1
\\H{u},1
\\_{\\c{\\i}},1
F,1
"\\'{\\\{\\c{u}}}""",1
\\=3,1
\\'{-},1
\\'{},1
" ""\""""",1
"\\\{\\^u}""",1
\\~{\\i},1
\\_O,1
\\harp{{\\textbara}{\\textbara}},1
\\~{\\'a},1
\\^{\\i},1
\\v{-},1
\\^u,1
\\u{u},1
"\\\o""",1
\\=i,1
\\'E,1
\\_l,1
q,1
{\\4v},1
{\\4t},1
\\^y,1
\\v{o}1,1
\\=o1,1
\\^E,1
\\u{e}1,1
\\~w,1
\\'U,1
\\textvbaraccent{\\textbaru},1
\\u{},1
\\_{\\textbaru},1
\\u{a},1
{\\_b},1
\\textvbaraccent{3},1
\\*=,1
R,1
\\={\\textbaru},1
\\_{\\c{i}},1
\\'O,1
\\v{c},1
\\~O,1
\\_n1,1
\\^p,1
\\~{\\_o},1
\\=E,1
\\textvbaraccent{\\textbara},1
\\textvbaraccent{o}1,1
\\textvbaraccent{\\={\\i}},1
{\\4d},1
\\'z,1
{\\4m},1
\\H{E},1
F5,1
\\textvbaraccent{-},1
\\textvbaraccent{w},1
\\textvbaraccent{u},1
\\=u,1
\\v{E},1
G,1
"{\\\e}""",1
\\={\\~a},1
\\'3,1
\\v{z},1
\\={\\textbara},1
\\_{\\textturnv},1
\\textdotbreve{\\i},1
\\_m,1
\\v{\\c{\\i}},1
"\\\u""",1
Z,1
c,1
\\textvbaraccent{i},1
\\^o1,1
\\~u1,1
\\~{\\_a},1
\\~r,1
\\'f,1
\\'{\\texthth},1
$\\leftarrow$,1
\\_{\\i},1
\\_{\\textltailn},1
\\textsubcircum{t},1
\\textvbaraccent{a},1
\\~{\\'{\\i}},1
"\\={\\\{\\i}}""",1
"\\v{\\\{\\c{u}}}""",1
\\c{u},1
\\'\\^{},1
\\_o1,1
\\'{\\c{i}},1
\\'m,1
\\^{\\textbara},1
v,1
\\textdelta,1
\\^a,1
\\'{\\c{\\i}},1
\\_t,1
\\harp{a},1
\\^O,1
\\squareharp{u},1
\\v{3},1
\\'{\\textbara},1
\\'{\\~u},1
\\squareharp{O},1
\\'t,1
\\u{E},1
\\textvbaraccent{e}1,1
\\'N,1
\\_3,1
\\c{r},1
\\4x{},1
\\^i,1
\\textvbaraccent{E},1
{\\4z},1
\\'{\\*:},1
\\^{\\c{u}},1
\\_N,1
\\~E,1
\\=O,1
\\={\\i},1
f1,1
B,1
\\=a,1
\\'{\\c{u}},1
\\u{O},1
\\harp{\\textbara},1
\\'{\\textbaro},1
\\'=W,1
\\'{e},1
\\textroundcap{\\=a}1,1
\\={\\=*o},1
\\r*e,1
\\={\\o},1
\\=*W,1
\\={\\=*u},1
\\textroundcap{\\=W},1
\\textipa{\\apsup{\\=*u}},1
\\v{\\=u},1
\\r*W,1
\\=*A,1
\\textipa{\\apsup{k}},1
\\textipa{\\apsup{\\i}},1
\\_{\\~u},1
\\:d,1
\\={\\=*A},1
\\_{\\=u},1
\\textctt,1
\\textroundcap{\\={\\i}},1
\\r*o,1
\\v{\\=W},1
\\textipa{\\apsup{t}},1
\\'{\\={\\~E}},1
\\textipa{\\apsup{A}},1
\\r*i,1
\\textipa{\\apsup{W}},1
\\'{A},1
l1,1
3,1
\\'{\\={\\~a}},1
\\={3},1
\\r*u,1
\\textltailn,1
\\textroundcap{\\=u},1
\\=*k,1
\\_{\\=a},1
\\textroundcap{\\=A},1
\\=*3,1
\\^a1,1
\\o,1
\\textroundcap{\\=o},1
\\v{\\={\\i}},1
\\super{l},1
\\'{o},1
\\'=e,1
\\={\\=*e},1
\\=*e,1
\\textipa{\\apsup{o}},1
\\super{r},1
\\textbeltl,1
\\'=u,1
\\textctd,1
\\=*h,1
\\_{={\\i}},1
\\'{u},1
\\_{\\~E},1
\\r*A,1
\\textipa{\\apsup{\\~u}},1
\\super{\\:s},1
\\={\\=*\\i},1
\\'=a1,1
\\super{S},1
\\textipa{\\apsup{p}},1
\\_{\\=o},1
\\=*u,1
\\super{j},1
\\textipa{\\apsup{\\=*A}},1
a1,1
\\super{Z},1
\\textipa{\\apsup{\\=*e}},1
\\v{\\=A},1
\\textipa{\\apsup{e}},1
\\:s,1
\\textipa{\\apsup{u}},1
\\super{s}1,1
\\_{\\={\\~E}},1
\\=*i,1
\\={\\=*W},1
\\'={\\i},1
\\=*o,1
\\super{w},1
\\'=A,1
\\='A,1
\\textipa{-},1
\\super{n},1
\\'{\\=o},1
\\v{\\=o},1
\\'{\\~a},1
k,2
a,2
{-},2
l,2
n1,2
u1,2
m,2
o1,2
i,2
w1,3
t,3
W,3
E,3
e1,3
O,3
j,3
s1,3
\\'e1,3
h,3
\\_a,3
\\'u1,3
\\'{\\i},3
P,3
U,3
p1,3
g1,3
y,3
\\'o1,3
b1,3
\\'a,3
d1,3
t1,3
